"filename", "language", "PostCSS", "HTML", "MS SQL", "Java", "JSON", "comment", "blank", "total"
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\repository\ItemTypeRepository.java", "Java", 0, 0, 0, -14, 0, 0, -9, -23
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\seed\MasterFormat2016JsonSeeder.java", "Java", 0, 0, 0, 258, 0, 7, 79, 344
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\service\BidService.java", "Java", 0, 0, 0, 189, 0, 7, 65, 261
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\service\CompanyWorkTypeDivisionService.java", "Java", 0, 0, 0, 84, 0, 5, 24, 113
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\service\CompanyWorkTypeService.java", "Java", 0, 0, 0, 510, 0, 8, 163, 681
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\service\DictionaryService.java", "Java", 0, 0, 0, -89, 0, 0, -23, -112
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\service\PricingService.java", "Java", 0, 0, 0, 135, 0, 25, 42, 202
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\estimate\util\CompanyWorkTypeCodeUtil.java", "Java", 0, 0, 0, 58, 0, 23, 20, 101
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\java\com\glassgang\pmworkflow\project\entity\Project.java", "Java", 0, 0, 0, 0, 0, -1, -1, -2
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\resources\catalog\estimate\masterformat-2016-with-levels.json", "JSON", 0, 0, 0, 0, 43872, 0, 0, 43872
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\resources\db\migration\V25__add_revision_customer_display_mode.sql", "MS SQL", 0, 0, 24, 0, 0, 5, 6, 35
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\resources\db\migration\V26__remove_item_customer_display_mode.sql", "MS SQL", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\resources\db\migration\V27__create_company_work_types.sql", "MS SQL", 0, 0, 81, 0, 0, 0, 33, 114
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\resources\db\migration\V28__replace_estimate_item_type_with_company_work_type.sql", "MS SQL", 0, 0, 57, 0, 0, 7, 18, 82
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\resources\templates\estimate\pdf\default-estimate-template.css", "PostCSS", 34, 0, 0, 0, 0, 52, 14, 100
"c:\Users\vlad\IdeaProjects\PMWorkflowTool\src\main\resources\templates\estimate\pdf\default-estimate-template.html", "HTML", 0, -3, 0, 0, 0, 0, -1, -4
"Total", "-", 34, -3, 166, 2371, 43872, 179, 758, 47377
