Date : 2026-07-27 10:37:58
Directory : c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src
Total : 289 files,  60117 codes, 226 comments, 4791 blanks, all 65134 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\entity\VendorProfile.java                            | Java     |         49 |          0 |         19 |         68 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\enums\AddressType.java                               | Java     |          9 |          0 |          1 |         10 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\enums\BusinessPartnerType.java                       | Java     |          5 |          0 |          1 |          6 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\enums\ContactRole.java                               | Java     |         11 |          0 |          1 |         12 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\enums\CustomerCategory.java                          | Java     |          6 |          0 |          1 |          7 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\enums\ExternalEntityType.java                        | Java     |          5 |          0 |          1 |          6 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\enums\ExternalSystem.java                            | Java     |          4 |          0 |          1 |          5 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\enums\VendorCategory.java                            | Java     |          8 |          0 |          1 |          9 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\mapper\BusinessPartnerMapper.java                    | Java     |        174 |          0 |         56 |        230 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\repository\BusinessPartnerAddressRepository.java     | Java     |         17 |          0 |          8 |         25 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\repository\BusinessPartnerContactRepository.java     | Java     |         17 |          0 |          8 |         25 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\repository\BusinessPartnerExternalRefRepository.java | Java     |         22 |          0 |          6 |         28 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\repository\BusinessPartnerRepository.java            | Java     |         11 |          0 |          6 |         17 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\repository\CustomerProfileRepository.java            | Java     |          9 |          0 |          5 |         14 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\repository\VendorProfileRepository.java              | Java     |          9 |          0 |          5 |         14 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\businesspartner\service\BusinessPartnerService.java                  | Java     |        662 |          1 |        153 |        816 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\common\dto\ApiErrorResponse.java                                     | Java     |         14 |          0 |          5 |         19 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\common\dto\PagedResponse.java                                        | Java     |         15 |          0 |          4 |         19 |
| c:\Users\vlad\IdeaProjects\Construction-Contractor-Workflow-Toolkit\src\main\java\com\company\ConstructionContractorWorkflowToolkit\common\exception\ApiExceptionHandler.java                            | Java     |         38 |          0 |          9 |         47 |
